coin_parse,coin_time,coin_value,update_time
BNB,2018-06-15,15.0481004715,2022-03-26
BNB,2018-06-16,15.8092002869,2022-03-26
BNB,2018-06-17,16.5788002014,2022-03-26
BNB,2018-06-18,16.879699707,2022-03-26
BNB,2018-06-19,16.6996002197,2022-03-26
BNB,2018-06-20,16.0618991852,2022-03-26
BNB,2018-06-21,17.0533008575,2022-03-26
BNB,2018-06-22,15.5938997269,2022-03-26
BNB,2018-06-23,15.551199913,2022-03-26
BNB,2018-06-24,14.4476003647,2022-03-26
BNB,2018-06-25,14.9209003448,2022-03-26
BNB,2018-06-26,14.1199998856,2022-03-26
BNB,2018-06-27,14.0501003265,2022-03-26
BNB,2018-06-28,14.1246004105,2022-03-26
BNB,2018-06-29,14.508600235,2022-03-26
BNB,2018-06-30,14.6572999954,2022-03-26
BNB,2018-07-01,14.4041004181,2022-03-26
BNB,2018-07-02,14.570599556,2022-03-26
BNB,2018-07-03,14.171500206,2022-03-26
BNB,2018-07-04,14.0054998398,2022-03-26
BNB,2018-07-05,13.8505001068,2022-03-26
BNB,2018-07-06,13.5296001434,2022-03-26
BNB,2018-07-07,14.404800415,2022-03-26
BNB,2018-07-08,13.991900444,2022-03-26
BNB,2018-07-09,13.6645002365,2022-03-26
BNB,2018-07-10,12.761300087,2022-03-26
BNB,2018-07-11,12.7048997879,2022-03-26
BNB,2018-07-12,12.070599556,2022-03-26
BNB,2018-07-13,12.180100441,2022-03-26
BNB,2018-07-14,12.0965003967,2022-03-26
BNB,2018-07-15,12.2890996933,2022-03-26
BNB,2018-07-16,13.2372999191,2022-03-26
BNB,2018-07-17,13.7128000259,2022-03-26
BNB,2018-07-18,12.8648004532,2022-03-26
BNB,2018-07-19,12.9180002213,2022-03-26
BNB,2018-07-20,12.0708999634,2022-03-26
BNB,2018-07-21,12.1852998734,2022-03-26
BNB,2018-07-22,12.1198997498,2022-03-26
BNB,2018-07-23,12.019900322,2022-03-26
BNB,2018-07-24,12.1450996399,2022-03-26
BNB,2018-07-25,12.9393997192,2022-03-26
BNB,2018-07-26,13.3972997665,2022-03-26
BNB,2018-07-27,13.9226999283,2022-03-26
BNB,2018-07-28,14.6016998291,2022-03-26
BNB,2018-07-29,14.0212001801,2022-03-26
BNB,2018-07-30,13.2169,2022-03-26
BNB,2018-07-31,13.7754,2022-03-26
BNB,2018-08-01,13.5739,2022-03-26
BNB,2018-08-02,14.1769,2022-03-26
BNB,2018-08-03,14.1346,2022-03-26
BNB,2018-08-04,13.8424,2022-03-26
BNB,2018-08-05,13.6232,2022-03-26
BNB,2018-08-06,13.6991,2022-03-26
BNB,2018-08-07,13.1461,2022-03-26
BNB,2018-08-08,12.1437,2022-03-26
BNB,2018-08-09,12.858,2022-03-26
BNB,2018-08-10,12.1308,2022-03-26
BNB,2018-08-11,11.7366,2022-03-26
BNB,2018-08-12,11.7418,2022-03-26
BNB,2018-08-13,10.2282,2022-03-26
BNB,2018-08-14,9.42011,2022-03-26
BNB,2018-08-15,9.46301,2022-03-26
BNB,2018-08-16,9.80233,2022-03-26
BNB,2018-08-17,10.8678,2022-03-26
BNB,2018-08-18,9.90758,2022-03-26
BNB,2018-08-19,10.1562,2022-03-26
BNB,2018-08-20,9.70093,2022-03-26
BNB,2018-08-21,9.71463,2022-03-26
BNB,2018-08-22,9.53973,2022-03-26
BNB,2018-08-23,9.71504,2022-03-26
BNB,2018-08-24,10.2347,2022-03-26
BNB,2018-08-25,10.1358,2022-03-26
BNB,2018-08-26,10.1856,2022-03-26
BNB,2018-08-27,11.2128,2022-03-26
BNB,2018-08-28,11.4861,2022-03-26
BNB,2018-08-29,11.1735,2022-03-26
BNB,2018-08-30,10.7626,2022-03-26
BNB,2018-08-31,11.0138,2022-03-26
BNB,2018-09-01,11.3794,2022-03-26
BNB,2018-09-02,11.2994,2022-03-26
BNB,2018-09-03,11.2611,2022-03-26
BNB,2018-09-04,11.3592,2022-03-26
BNB,2018-09-05,10.0866,2022-03-26
BNB,2018-09-06,10.2842,2022-03-26
BNB,2018-09-07,10.0373,2022-03-26
BNB,2018-09-08,9.52008,2022-03-26
BNB,2018-09-09,9.51263,2022-03-26
BNB,2018-09-10,9.52487,2022-03-26
BNB,2018-09-11,9.37396,2022-03-26
BNB,2018-09-12,9.21443,2022-03-26
BNB,2018-09-13,9.60406,2022-03-26
BNB,2018-09-14,9.93005,2022-03-26
BNB,2018-09-15,10.1103,2022-03-26
BNB,2018-09-16,9.93602,2022-03-26
BNB,2018-09-17,9.40526,2022-03-26
